sku_id,description,supplier,cost_per_unit,status,category
AP-3390291,3390291 Hi-Limit Thermostat,Partsnet,1.27,Active,Appliance Parts
AP-3406105,Whirlpool 3406105 Door Switch,Partsnet,1.42,Active,Appliance Parts
AP-3406107,Whirlpool 3406107 Door Switch for Dryer,Partsnet,1.47,Active,Appliance Parts
AP-341241,Whirlpool 341241 Dryer Drum Belt,Partsnet,2.1,Active,Appliance Parts
AP-349241T,Whirlpool 349241T Drum Roller,Partsnet,1.91,Active,Appliance Parts
AP-3891ER2003A,LG 3891ER2003A Detergent Box Assembly,Mingxing Appliance,1.7,Discontinued,Appliance Parts
AP-3949238,Whirlpool 3949238 Washer Lid Switch,Partsnet,2.01,Active,Appliance Parts
AP-3949247,Whirlpool 3949247 Switch for Washer,Partsnet,1.94,Active,Appliance Parts
AP-3977767,Whirlpool 3977767 Thermostat,Partsnet,1.39,Active,Appliance Parts
AP-4317943,Whirlpool 4317943 Ice Maker Assembly,Chuzhou Ice Maker,26.72,Active,Refrigerator Ice maker
AP-4378581,Whirlpool 4378581/Broan S97007696 Microwave Hood Charcoal Filter,Mingxing Appliance,2.7,Discontinued,Appliance Parts
AP-4389102,Whirlpool 4389102 Ice Level Control Board Kit for Refrigerator,Mingxing Appliance,9.13,Active,Appliance Parts
AP-4400EL2001F,LG 4400EL2001F Dryer Belt,Partsnet,2.14,Active,Appliance Parts
AP-4561EL3002A,LG 4561EL3002A Idler Pulley Assembly,Mingxing Appliance,3.1,Discontinued,Appliance Parts
AP-4581EL2002C,LG 4581EL2002C Roller Assembly,Partsnet,2.5,Active,Appliance Parts
AP-4681EA2001T,LG 4681EA2001T Drain Pump Washing Machine,Mingxing Appliance,6.27,Active,Appliance Parts
AP-4738ER1002A,LG 4738ER1002A Tub to Pump Hose,Mingxing Appliance,0.01,Discontinued,Appliance Parts
AP-482493,Whirlpool 482493 Defrost Timer for Refrigerator,Partsnet,2.41,Active,Appliance Parts
AP-4901ER2003A,LG 4901ER2003A Shock Absorber,Mingxing Appliance,1.1,Discontinued,Appliance Parts
AP-4933DD3001B,LG 4933DD3001B Door Hinge Cable Assembly,Partsnet,0.56,Active,Appliance Parts
AP-49621,Whirlpool 49621 Leveling Foot,Partsnet,0.35,Active,Appliance Parts
AP-5006EA3009B,LG 5006EA3009B Washer Pulsator,Mingxing Appliance,2.1,Active,Appliance Parts
AP-5220FR2006H,5220FR2006H Water Inlet Valve Assembly,Mingxing Appliance,2.5,Discontinued,Appliance Parts
AP-5231EL1001C,LG Electronics 5231EL1001C Dryer Lint Filter,Mingxing Appliance,3.55,Active,Appliance Parts
AP-5231EL1003B,LG Electronics 5231EL1003B Dryer Lint Filter,Mingxing Appliance,3.66,Active,Appliance Parts
AP-5300622034,5300622034 Dryer Element Coil,Mingxing Appliance,4.2,Death Row,Appliance Parts
AP-5301EL1001J,LG 5301EL1001J Heater Assembly,Partsnet,21.56,Active,Appliance Parts
AP-5303281153,5303281153 Dryer Rear Bearing Drum Kit,Mingxing Appliance,3.5,Discontinued,Appliance Parts
AP-5303918214,5303918214 Refrigerator Defrost Thermostat,Partsnet,1.25,Active,Appliance Parts
AP-5303918344,Frigidaire 5303918344 Icemaker Kit,Chuzhou Ice Maker,24,Active,Refrigerator Ice maker
AP-5304464438,Frigidaire 5304464438 Run Capacitor,Partsnet,1.28,Death Row,Appliance Parts
AP-5304477398,Frigidaire 5304477398 Handle Assembly,Mingxing Appliance,3.67,Active,Appliance Parts
AP-5304486359,5304486359 Frigidaire Handle Set for Refrigerator,Mingxing Appliance,7.84,Active,Appliance Parts
AP-5304506471,Frigidaire 5304506471 Door Handle,Mingxing Appliance,7.85,Active,Appliance Parts
AP-5304506516,Frigidaire 154754502 5304506516 Upper Spray Arm Assembly,Partsnet,1.66,Active,Appliance Parts
AP-5304513033,Frigidaire 5304513033 Refrigerator Temperature Control Thermostat,Mingxing Appliance,3.13,Active,Appliance Parts
AP-5304516871,Frigidaire 131359600 Lint Trap for Dryer,Mingxing Appliance,3,Discontinued,Appliance Parts
AP-622058,Bosch 00622058 Water Inlet Valve,Mingxing Appliance,8.5,Discontinued,Appliance Parts
AP-6323EL2001B,LG 6323EL2001B Thermistor Assembly,Mingxing Appliance,1.85,Discontinued,Appliance Parts
AP-6501KW2002A,LG 6501KW2002A Rotor Position Sensor Switch,Mingxing Appliance,2.61,Active,Appliance Parts
AP-6600JB1010A,LG 6600JB1010A Light Switch,Partsnet,1.1,Active,Appliance Parts
AP-6602-001655,Samsung Dryer Belt 6602-001655,Partsnet,2.39,Active,Appliance Parts
AP-661570V,661570 Dryer Drum Belt,Partsnet,2.23,Active,Appliance Parts
AP-6750C-0005P,LG 6750C-0005P Compressor Overload Protector,Partsnet,0.75,Discontinued,Appliance Parts
AP-691366,Whirlpool 691366 Dryer Idler Pulley,Partsnet,2.3,Active,Appliance Parts
AP-80040,80040 Agitator Dogs,Partsnet,0.47,Active,Appliance Parts
AP-8066184,8066184 Whirlpool Dryer Pulley,Partsnet,1.37,Active,Appliance Parts
AP-807117001,Frigidaire 807117001 Hose,Mingxing Appliance,3.5,Discontinued,Appliance Parts
AP-809006501,Frigidaire 809006501 Dishwasher Door Seal,Mingxing Appliance,2.61,Active,Appliance Parts
AP-8181651,Whirlpool WP8181651 Door Strike,Partsnet,0.8,Discontinued,Appliance Parts
AP-8181846,Whirlpool 8181846 Handle for Washing Machine,Mingxing Appliance,0.84,Active,Appliance Parts
AP-8194001,Whirlpool 8194001 Door Balance Link Kit for Dish Washer,Partsnet,2.42,Active,Appliance Parts
AP-8212560,Whirlpool 8212560 Dishwasher Side Mounting Brackets,Mingxing Appliance,1.57,Active,Appliance Parts
AP-8269144A,Whirlpool 8269144A Dishwasher Drain Hose,Mingxing Appliance,4.57,Active,Appliance Parts
AP-8269145,Whirlpool 8269145 Bracket,Mingxing Appliance,1.82,Active,Appliance Parts
AP-8318084,Whirlpool 8318084 Lid Switch for Washer,Mingxing Appliance,1.36,Active,Appliance Parts
AP-850024,WHIRLPOOL 850024 Replacement Drain Pump W10130913,Partsnet,11.32,Active,Appliance Parts
AP-8540024,8540024 Drain Pump Motor Only,Mingxing Appliance,6.31,Active,Appliance Parts
AP-8541503,Whirlpool 8541503 Duet and Epic Stack Kit,Mingxing Appliance,4.71,Death Row,Appliance Parts
AP-8544771,Whirlpool 8544771 Single Element,Mingxing Appliance,6.79,Active,Appliance Parts
AP-8547174,Whirlpool 8547174 Idler Pulley,Partsnet,2.12,Discontinued,Appliance Parts
AP-8559751,Whirlpool 8559751 Door Handle,Mingxing Appliance,1.6,Discontinued,Appliance Parts
AP-8577274,Whirlpool 8577274 Thermistor for Dryer,Partsnet,1.19,Active,Appliance Parts
AP-97006931,Broan S97006931 Filter,Mingxing Appliance,1.8,Discontinued,Appliance Parts
AP-97012248,97012248 Range Hood Fan Motor,Mingxing Appliance,6.79,Active,Appliance Parts
AP-ADQ56656401,LG Electronics ADQ56656401 Dryer Lint Filter,Partsnet,3.85,Active,Appliance Parts
AP-D7824706Q,D7824706Q Ice Maker,Chuzhou Ice Maker,23.54,Active,Refrigerator Ice maker
AP-DA31-00146E,SAMSUNG DA31-00146E MOTOR FAN,Mingxing Appliance,6.58,Active,Appliance Parts
AP-DA32-00006W,Samsung Refrigerator Defrost Temp Sensor DA32-00006W,Mingxing Appliance,1.15,Active,Appliance Parts
AP-DC31-00054A,DC31-00054A Washer Drain Pump,Mingxing Appliance,6.28,Active,Appliance Parts
AP-DC32-00007A,Samsung DC32-00007A Dryer Thermistor,Mingxing Appliance,1.05,Active,Appliance Parts
AP-DC47-00019A,Samsung Heating Element DC47-00019A,Mingxing Appliance,6.27,Active,Appliance Parts
AP-DC61-01521A,Samsung DC61-01521A Filter,Mingxing Appliance,4,Discontinued,Appliance Parts
AP-DC61-02610A,Samsung DC61-02610A Lint Filter Case,Mingxing Appliance,1.8,Death Row,Appliance Parts
AP-DC66-00777A,Samsung DC66-00777A Pulsator Cap,Partsnet,1.5,Active,Appliance Parts
AP-DC93-00634A,Samsung DC93-00634A Dryer Idler Pulley,Partsnet,2.66,Active,Appliance Parts
AP-DC97-07509B,Samsung DC97-07509B Assembly Roller,Partsnet,1.11,Death Row,Appliance Parts
AP-DC97-16742A,Samsung DC97-16742A Lint Filter and Case Assembly,Mingxing Appliance,3.44,Active,Appliance Parts
AP-DC97-16782A,DC97-16782A Drum Support Roller Assembly,Partsnet,2.24,Active,Appliance Parts
AP-DD31-00005A,Samsung DD31-00005A Drain Pump,Partsnet,4.55,Active,Appliance Parts
AP-DD62-00084A,Samsung DD62-00084A Valve,Mingxing Appliance,13.6,Active,Appliance Parts
AP-DE64-00760A,Samsung DE64-00760A Door Latch Hook,Mingxing Appliance,1.25,Active,Appliance Parts
AP-DG31-00005A,Samsung DG31-00005A Convection Motor,Mingxing Appliance,9.29,Active,Appliance Parts
AP-EBF49827801,LG EBF49827801 / 6601ER1004C Door Lock Switch Assembly,Partsnet,7.72,Active,Appliance Parts
AP-K45B,KitchenAid W10672617 K45B Coated Flat Beater,Mingxing Appliance,2.96,Death Row,Appliance Parts
AP-K45DH,K45DH W10674618 Dough Hook Replacement,Mingxing Appliance,2.8,Death Row,Appliance Parts
AP-K45WW,WP9704329 KitchenAid K45WW Wire Whip for Tilt-Head Stand Mixer,Mingxing Appliance,3.44,Death Row,Appliance Parts
AP-K5AB,K5AB W10807813 Flat Beater for KitchenAid Stand Mixers,Mingxing Appliance,2.8,Death Row,Appliance Parts
AP-K5AWW,KitchenAid Commercial Wire Whip K5AWW W10731415,Mingxing Appliance,3.3,Discontinued,Appliance Parts
AP-MJX41178908,LG Electronics MJX41178908 Refrigerator Water Inlet Valve,Mingxing Appliance,8.5,Death Row,Appliance Parts
AP-W10083957V,Whirlpool W10083957 Chopper Assembly,Partsnet,1.21,Death Row,Appliance Parts
AP-W10111905,0,Mingxing Appliance,0.79,Active,Appliance Parts
AP-W10112253,W10112253 MIXER WORM GEAR,Mingxing Appliance,1.57,Active,Appliance Parts
AP-W10120998,Whirlpool W10120998 Screen,Mingxing Appliance,3.66,Active,Appliance Parts
AP-W10181986,Whirlpool W10181986 Sensor for Range,Partsnet,3.41,Active,Appliance Parts
AP-W10195416,W10195416V WITH STEEL CONE Lower Dishrack Wheel Assembly,Partsnet,1.5,Active,Appliance Parts
AP-W10195417,W10195417 Kenmore Dishwasher Track,Partsnet,1.55,Active,Appliance Parts
AP-W10217134,Whirlpool Washer Pump W10217134,Mingxing Appliance,7.31,Active,Appliance Parts
AP-W10225581,Whirlpool W10225581 Defrost Bimetal,Partsnet,1.19,Active,Appliance Parts
AP-W10258275,Whirlpool W10258275 Bimetal Fuse,Partsnet,2.62,Active,Appliance Parts
AP-W10269458,Whirlpool W10269458 Switch,Mingxing Appliance,1.14,Active,Appliance Parts
AP-W10339442,Whirlpool W10339442 Knob,Partsnet,2.18,Active,Appliance Parts
AP-W10350375,W10350375 Dishwasher Top Rack Adjuster,Partsnet,2.5,Active,Appliance Parts
AP-W10350376,Whirlpool W10350376 Rack Adjuster,Mingxing Appliance,2.61,Active,Appliance Parts
AP-W10366605,Whirlpool W10366605 Control Board,Mingxing Appliance,12.83,Death Row,Appliance Parts
AP-W10404050,Whirlpool W10404050 Lid Latch Assembly,Partsnet,8.98,Active,Appliance Parts
AP-W10435302,W10435302 Whirlpool Bearing and Tub Seal Kit,Partsnet,15.49,Active,Appliance Parts
AP-W10447783,W10447783 WITHOUT SEAL SETS,Mingxing Appliance,12,Active,Appliance Parts
AP-W10490648,W10490648 Hand Mixer Beater Pack,Mingxing Appliance,1.88,Active,Appliance Parts
